Gene Names,Cluster label
GTF2IRD2P,9
GTPBP4,13
GUCA1C,1
GUCY1A2,20
GUCY2D,11
GYG2,9
GYLTL1B,5
GYS2,5
GZMB,17
GZMM,12
H2BFWT,3
HAAO,12
HACL1,19
HAO2,19
HAUS8,1
HCN3,16
HDAC2,13
HDAC3,16
HDAC6,8
HDAC9,2
HDDC2,13
HDGFL1,9
HDHD3,16
HDLBP,4
HEBP1,17
HECTD3,12
HES1,19
HESX1,5
HEXB,14
HEY1,17
HFE,4
HGD,8
HIC1,1
HIF1A,14
HIF3A,8
HIGD1A,14
HINFP,12
HINT1,13
HIPK3,7
HIST1H2AI,18
HIST1H2AK,10
HIST1H2BD,12
HIST1H2BF,3
HIST1H2BG,16
HIST1H2BJ,8
HIST1H2BK,8
HIST1H3D,16
HIST1H4A,11
HIST2H2AA3,12
HIST2H2AC,12
HIST2H2BE,12
HIST3H2BB,18
HIVEP3,17
HM13,1
HMBS,7
HMCN1,11
HMG20B,8
HMGB2,13
HMGCS1,14
HMHA1,17
HN1L,16
HNMT,18
HNRNPCL1,4
HNRPK,14
HOOK2,6
HOXA3,9
HOXA7,10
HOXB1,16
HOXB3,20
HOXB6,8
HOXC4,12
HOXC6,4
HOXD11,20
HOXD12,15
HOXD3,12
HP1BP3,14
HPDL,9
HPGD,19
HPS4,4
HRH1,6
HRH4,18
HRK,12
HS3ST3A1,8
HS3ST6,16
HS6ST2,10
HSD17B13,18
HSD17B4,14
HSD3B1,2
HSDL1,20
HSF1,1
HSF4,4
HSP90AA1,11
HSP90B1,13
HSP90B3P,3
HSPA4L,3
HSPB6,16
HSZFP36,14
HTR3A,2
HTR3B,15
HTR3C,16
HTR4,11
HTR5A,3
HTRA1,19
HUWE1,6
HVCN1,12
IAH1,14
IARS,17
ICA1L,3
ICAM4,17
ICK,11
ICOSLG,4
ICT1,12
IDH1,14
IDH3B,6
IDH3G,1
IFI27,13
IFI6,13
IFIT1L,13
IFITM2,8
IFITM3,13
IFITM5,3
IFNA1,15
IFNA16,3
IFNA17,18
IFNA5,18
IFNAR1,17
IFNGR1,13
IFRG15,5
IFT122,4
IFT140,16
IFT74,14
IFT81,3
IGDCC4,9
IGF2,11
IGFBP1,13
IGFBP4,19
